ArriveTime,LogicalID,EndDeviceSID,RouterSID,LQI,SequenceNumber,Sensor,PALID,PALVersion,Power,ADC1,HALLIC
	2020/08/19 17:32:14.514,8,	2014E07,	No Relay,156,31,	PAL,1,1,2315,793,Close(N)
	2020/08/19 17:32:14.830,8,	2014E07,	No Relay,159,32,	PAL,1,1,2315,2110,Open
	2020/08/19 17:32:49.419,8,	2014E07,	No Relay,129,33,	PAL,1,1,2315,2190,Close(S)
	2020/08/19 17:32:52.326,8,	2014E07,	No Relay,132,34,	PAL,1,1,2320,2059,Open
	2020/08/19 17:32:52.699,8,	2014E07,	No Relay,114,35,	PAL,1,1,2320,2072,Close(S)
	2020/08/19 17:32:52.808,8,	2014E07,	No Relay,120,36,	PAL,1,1,2320,2072,Open
	2020/08/19 17:38:00.241,8,	2014E07,	No Relay,96,42,	PAL,1,1,2325,793,Close(S)
	2020/08/19 17:38:00.779,8,	2014E07,	No Relay,117,43,	PAL,1,1,2325,834,Open
	2020/08/19 17:38:55.047,8,	2014E07,	No Relay,222,44,	PAL,1,1,2325,1083,Open
	2020/08/19 17:39:53.692,8,	2014E07,	No Relay,120,45,	PAL,1,1,2325,800,Open
	2020/08/19 17:40:20.498,8,	2014E07,	No Relay,132,46,	PAL,1,1,2325,1674,Close(S)
	2020/08/19 17:40:20.664,8,	2014E07,	No Relay,105,47,	PAL,1,1,2335,1548,Open
	2020/08/19 17:40:20.768,8,	2014E07,	No Relay,123,48,	PAL,1,1,2335,1731,Close(S)
	2020/08/19 17:40:20.927,8,	2014E07,	No Relay,114,49,	PAL,1,1,2335,1642,Open
	2020/08/19 17:40:21.041,8,	2014E07,	No Relay,129,50,	PAL,1,1,2335,1710,Close(S)
	2020/08/19 17:40:21.199,8,	2014E07,	No Relay,117,51,	PAL,1,1,2340,1635,Open
	2020/08/19 17:42:54.669,8,	2014E07,	No Relay,126,54,	PAL,1,1,2335,837,Close(S)
	2020/08/19 17:42:55.205,8,	2014E07,	No Relay,132,55,	PAL,1,1,2330,993,Open
	2020/08/19 17:44:54.632,8,	2014E07,	No Relay,126,58,	PAL,1,1,2325,800,Close(S)
	2020/08/19 17:44:55.166,8,	2014E07,	No Relay,141,59,	PAL,1,1,2320,870,Open
	2020/08/19 17:47:12.521,8,	2014E07,	No Relay,135,62,	PAL,1,1,2320,798,Close(S)
	2020/08/19 17:47:12.840,8,	2014E07,	No Relay,123,63,	PAL,1,1,2320,1242,Open
	2020/08/19 17:48:04.087,8,	2014E07,	No Relay,141,64,	PAL,1,1,2320,2151,Close(S)
	2020/08/19 17:48:04.468,8,	2014E07,	No Relay,153,65,	PAL,1,1,2320,1577,Open
	2020/08/19 17:49:04.579,8,	2014E07,	No Relay,213,66,	PAL,1,1,2320,1425,Open
	2020/08/19 17:55:17.634,8,	2014E07,No Relay,147,73,	PAL,1,1,2315,803,Close(S)
	2020/08/19 17:55:18.170,8,	2014E07,No Relay,138,74,	PAL,1,1,2315,1946,Open
	2020/08/19 17:58:18.561,8,	2014E07,No Relay,123,79,	PAL,1,1,2320,1809,Close(S)
	2020/08/19 17:58:18.990,8,	2014E07,No Relay,126,80,	PAL,1,1,2325,865,Open
	2020/08/19 18:29:09.320,8,	2014E07,	No Relay,132,117,	PAL,1,1,2320,820,Open
	2020/08/19 18:29:09.581,8,	2014E07,	No Relay,132,118,	PAL,1,1,2325,933,Close(N)
	2020/08/19 18:29:09.744,8,	2014E07,	No Relay,117,119,	PAL,1,1,2320,1054,Close(S)
	2020/08/19 18:29:09.816,8,	2014E07,	No Relay,102,120,	PAL,1,1,2325,1061,Open
	2020/08/19 18:32:49.670,8,	2014E07,	No Relay,159,124,	PAL,1,1,2320,808,Close(S)
	2020/08/19 18:32:50.158,8,	2014E07,	No Relay,111,125,	PAL,1,1,2315,981,Open
	2020/08/19 18:35:53.055,8,	2014E07,	No Relay,132,129,	PAL,1,1,2310,805,Close(S)
	2020/08/19 18:35:53.919,8,	2014E07,	No Relay,132,130,	PAL,1,1,2310,1010,Open
	2020/08/19 18:35:56.011,8,	2014E07,	No Relay,150,131,	PAL,1,1,2315,1203,Close(S)
	2020/08/19 18:36:26.208,8,	2014E07,	No Relay,141,133,	PAL,1,1,2315,1225,Close(S)
	2020/08/19 18:36:27.498,8,	2014E07,	No Relay,138,134,	PAL,1,1,2315,1753,Open
	2020/08/19 18:37:17.088,8,	2014E07,	No Relay,141,135,	PAL,1,1,2315,1992,Close(S)
	2020/08/19 18:37:17.465,8,	2014E07,	No Relay,150,136,	PAL,1,1,2320,1531,Open
	2020/08/19 18:38:16.376,8,	2014E07,	No Relay,108,137,	PAL,1,1,2320,1430,Open
	2020/08/19 18:47:38.859,8,	2014E07,	No Relay,147,147,	PAL,1,1,2310,800,Close(S)
	2020/08/19 18:47:39.179,8,	2014E07,	No Relay,147,148,	PAL,1,1,2310,1333,Open
	2020/08/19 18:48:33.945,8,	2014E07,	No Relay,168,149,	PAL,1,1,2310,1406,Open
	2020/08/19 18:49:31.162,8,	2014E07,	No Relay,183,150,	PAL,1,1,2310,803,Open
	2020/08/19 18:50:25.202,8,	2014E07,	No Relay,159,151,	PAL,1,1,2310,817,Open
	2020/08/19 18:50:43.597,8,	2014E07,	No Relay,150,152,	PAL,1,1,2310,803,Close(S)
	2020/08/19 18:50:44.569,8,	2014E07,	No Relay,129,153,	PAL,1,1,2310,1473,Open
	2020/08/19 18:51:54.544,8,	2014E07,	No Relay,126,156,	PAL,1,1,2315,1464,Close(S)
	2020/08/19 18:51:55.833,8,	2014E07,	No Relay,129,157,	PAL,1,1,2320,824,Open
	2020/08/19 18:51:56.050,8,	2014E07,	No Relay,141,158,	PAL,1,1,2320,1073,Close(S)
	2020/08/19 18:51:56.206,8,	2014E07,	No Relay,129,159,	PAL,1,1,2320,1109,Open
	2020/08/19 18:52:59.886,8,	2014E07,	No Relay,132,160,	PAL,1,1,2320,1196,Open
	2020/08/19 18:58:49.374,8,	2014E07,	No Relay,78,168,	PAL,1,1,2310,1939,Open
	2020/08/19 19:07:11.067,8,	2014E07,	No Relay,117,177,	PAL,1,1,2310,798,Close(S)
	2020/08/19 19:07:11.611,8,	2014E07,	No Relay,123,178,	PAL,1,1,2310,865,Open
	2020/08/19 19:11:51.262,8,	2014E07,	No Relay,177,183,	PAL,1,1,2310,798,Open
	2020/08/19 19:12:48.674,8,	2014E07,	No Relay,171,184,	PAL,1,1,2310,1584,Open
	2020/08/19 19:30:31.694,8,	2014E07,	No Relay,117,173,	PAL,1,1,2330,798,Close(S)
	2020/08/19 19:30:32.338,8,	2014E07,	No Relay,99,174,	PAL,1,1,2325,1285,Open
	2020/08/19 19:31:27.062,8,	2014E07,	No Relay,183,175,	PAL,1,1,2325,1133,Open
	2020/08/19 19:32:26.151,8,	2014E07,	No Relay,189,176,	PAL,1,1,2325,798,Open
	2020/08/19 19:33:22.011,8,	2014E07,	No Relay,195,177,	PAL,1,1,2320,798,Open
	2020/08/19 19:34:22.272,8,	2014E07,	No Relay,153,178,	PAL,1,1,2315,798,Open
	2020/08/19 19:35:19.358,8,	2014E07,	No Relay,84,179,	PAL,1,1,2315,793,Open
	2020/08/19 19:36:13.255,8,	2014E07,	No Relay,144,180,	PAL,1,1,2315,817,Open
	2020/08/19 19:40:27.606,8,	2014E07,	No Relay,84,185,	PAL,1,1,2320,795,Close(S)
	2020/08/19 19:40:28.086,8,	2014E07,	No Relay,132,186,	PAL,1,1,2325,1121,Open
	2020/08/19 19:41:24.811,8,	2014E07,	No Relay,108,188,	PAL,1,1,2325,795,Close(S)
	2020/08/19 19:41:25.240,8,	2014E07,	No Relay,114,189,	PAL,1,1,2325,1353,Open
	2020/08/19 19:42:19.501,8,	2014E07,	No Relay,195,190,	PAL,1,1,2320,767,Open
	2020/08/19 19:43:18.118,8,	2014E07,	No Relay,195,191,	PAL,1,1,2320,795,Open
	2020/08/19 19:47:01.663,8,	2014E07,	No Relay,147,197,	PAL,1,1,2315,798,Close(S)
	2020/08/19 19:47:02.091,8,	2014E07,	No Relay,138,198,	PAL,1,1,2320,788,Open
	2020/08/19 19:47:58.262,8,	2014E07,	No Relay,177,199,	PAL,1,1,2315,991,Open
